itsblah	land_mine	Levitation/flying have a chance of still triggering the mine, but you won't fall into the resulting pit. Also, your legs will not be harmed.
Patashu	land_mine	If you succesfully find and untrap one without it going 'splodey you can carry it around with you and plant it in a new location.
dasunt	iron_shoes	Iron boots that drop AC by 2 and have the unidentified appearance of 'hard shoes'.  A common armor for many players in the early game.
joshk	iron_shoes	Just like all other metal stuff, inhibits casting.
casmith789	garter_snake	A low level monster that isn't poisonous and doesn't convey any resistances.
Zeffrin	garter_snake	Eaten: garter snake   Nutr: 60
paxed	legacy	Configuration option.  Display an introductory message when starting the game.
dasunt	gray_dragon_scales	Drops AC by 3 and provides magic resistance.  Does NOT provide magic cancellation.  Can be transformed into gray dragon scale mail with a scroll of enchant armor.
CydeWeys	gray_dragon_scales	Weighs 40.
SpeedEvil	you_feel_threatened	A message generated when you either cast detect monsters (or quaff the potion) with no detectable monsters on the level, or that you've just aggravated local monsters while misreading a spellbook, or sitting on a throne.
[SA]Erlog-idle	several_flies_buzz_angrily_around_the_sink	It is a ring of aggravate monster. See {aggravate monster}.
dtype	fire_brand	see {firebrand}
mekkis	you_feel_more_claustrophobic_than_before	You were in a shop whose walls were repaired
SpeedEvil	clairvoyance	Clairvoyance maps a 20*11 area of the map, centered on the player. It has a 1/2 chance of doing this every 15 turns that you are clairvoyant. You can become clairvoyant by:
SpeedEvil	clairvoyance	Donating 200*XL to (400*XL)-1 to any priest, as long as this amount is greater than one-third of current visible gold. See {donate} for more info.
SpeedEvil	clairvoyance	Casting the spell of clairvoyance maps as you cast the spell. Skill level unimportant. Unlike other sources of clairvoyance, this is the only one that has no duration.
SpeedEvil	clairvoyance	Wearing a cornuthaum if not a wizard blocks clairvoyance. Wearing a cornuthaum as a wizard confers clairvoyance.
Eidolos	clairvoyance	Carrying the Amulet of Yendor will grant clairvoyance if it's not blocked.
joshk	field_of_force	Some bits of your armor nearly got destroyed by a magic creature, but you have MR, so it's still there.
joshk	brettcar	Part of the dgamelaunch development cabal.
dasunt	apron	see {alchemy smock}
paxed	dungeon	Configuration option.  Set the character symbols for displaying the dungeon.  See Guidebook for more info.
GreyKnight	zorkmid	"Zorkmid" is a fictional unit of currency, originally used in the game "Zork". It appears in many games, especially RPGs, roguelikes (such as NetHack) and other adventure games.
GreyKnight	zorkmid	It is precisely equivalent to a "gold piece" in game terms, and 100 of them have a weight of 1.
madness	eye_of_misspelling	see {eye_of_the_aethiopica}
paxed	#nethack:!plr	http://alt.org/nethack/plr.php?player=$ARG
LordMatthius	reasons_why_you_shouldn't_read_unidentified_scrolls	1. You see that shiny new GDSM you just got? Accidentally read a scroll of destroy armour and watch it go *poof*
Thvor	reasons_why_you_shouldn't_read_unidentified_scrolls	2. Who's "Maud", again?
LordMatthius	reasons_why_you_shouldn't_read_unidentified_scrolls	Look up. If the scroll's earth, then it comes down, and you go up. Think past dlvl -10
Thvor	reasons_why_you_shouldn't_read_unidentified_scrolls	3. *bamf*
shel-	quux	See {foo}
billnye	whines	Possible response by a canine pet when #chatted:  indicates hungry, fleeing, confused, trapped, or with tameness of less than 5. (feed it, you lout!)
BenUrban	whines	Also heard if your leashed pet is near a trap (whether or not you've found the trap.)
tsuteiuQ	spinach	Very nourishing (600 nutrition) and healthy stuff. Eating a tin of spinach raises your STR, but watch your hunger status lest you choke on such a nutritious meal.
itsblah	spinach	Note that a cursed tin of spinach (tin contains some decaying green substance) will decrease STR instead. Strength loss or gain is equivalent to eating a giant corpse, see {giant}.
scwizard	spinach	Watch out, giant man-eating tins of spinach have claimed over 200 lives on NAO.
paxed	medusa	Unique monster who can petrify you if you happen to see her with your eyes.
paxed	medusa	Easy to kill if you have a mirror, and Medusa practically kills herself if you have reflection.
Sgep	medusa	When cancelled and you see her, gives the message "Medusa doesn't look all that ugly."
Eidolos	medusa	You can easily farm Medusa with reflection and stone to flesh. Best done with the Eye so you can keep up the farm for a while.
Eidolos	medusa	Reflection alone does not kill Medusa if you're invisible. "Medusa doesn't seem to notice that her gaze was reflected." As long as you're reflecting, Medusa cannot petrify you, even if you aren't blind.
Eidolos	medusa	See {medusa's island} for information about her special level.
Zeffrin	medusa	Eaten: Medusa   Nutr: 400   Effects: Petrify, Poisonous     Intrinsic: Poison: 100%
SpeedEvil	oh_shit	Exclamation made when one attempts to genocide master mind flayers, then quickly discovers that a lich had cursed the scroll.
Nexos	oh_shit	... or when you genocide h forgetting you are a dwarf...
dasunt	z	Command: 'z'  Zap a wand.  To aim at yourself, use '.' as a direction.  Use '>' to aim down.
dasunt	z	Command: 'Z'  Zap (cast) a spell.  To aim at yourself, use '.' as a direction.  Use '>' to aim down.
dasunt	z	Monster: 'z'  A zruty, only a zruty and nothing but a zruty.
dasunt	z	Monster: 'Z'  The undead, mainly zombies.  Zombies come in the varieties of kobold, gnome, orc, dwarf, elf, human, ettin, and giant.  For those who are hungry or by an altar, please note that these zombies have been dead for quite awhile.  'Z' also includes ghouls and skeletons.
dasunt	z	Command: '^Z'  Suspend the game under unix systems with job control.
greycat	tourist	Aloha!  The Tourist is one of the most challenging classes to play, starting with no armor (besides a T-shirt) and no weapon except some darts.  Tourists are neutral, and may achieve Expert skill in daggers, short swords, and darts.
towo	tourist	Read "The Colour of Magic" and "The Light Fantastic" from Terry Pratchett for more info about the nethackish tourists.
dasunt	tourist	"A tourist is like a piece of tissue paper walking around in the rain." ~ dtype
dasunt	tourist	Although weaker than a healer in the early game due to lack of healing ability and weapons, being skilled in #twoweapon and silver saber, as well as the abusability of the PYEC makes tourists a decent class in the mid to end game.
paxed	tourist	Tourist rank titles: Rambler (xplvl 1-2), Sightseer (3-5), Excursionist (6-9), Peregrinator/Peregrinatrix (10-13), Traveler (14-17), Journeyer (18-21), Voyager (22-25), Explorer (26-29), Adventurer (30)
greycat	tourist	Tourists of level 14 or less get charged an extra 1/3 when buying from stores, and they get only 1/3 of the list price, instead of 1/2, when selling.
luis	tourist	Tourists get automatic searching at level 10 and poison resistance at level 20.
Zeffrin	tourist	Eaten: tourist   Nutr: 400   Effects: Human
paxed	nalzok	The Priest quest nemesis, a demon.
greycat	nalzok	Nalzok is a spellcaster; magic resistance is strongly recommended before facing it.
GreyKnight	nalzok	Cold magic is particularly effective.
anselmus	nalzok	SPECIES  LEV SPD  AC  MR  RESISTS   ATTACKS
anselmus	nalzok	&         16  12  -2  85  fp*       W8d4 W4d6 M0d0+ 2d6-
Mucknert	scroll	Press 'r' to read it. Many scrolls are beneficial if uncursed or blessed. Some may be harmful, though.
jilles	scroll	Base prices for scrolls -- 0: mail.  20: identify.  50: light.  60: enchant weapon, blank paper.  80: enchant armor, remove curse.  100: destroy armor, confuse monster, scare monster, teleportation, gold detection, food detection, magic mapping, fire.  200: create monster, taming, amnesia, earth.  300: genocide, punishment, charging, stinking cloud.
Nelennath	scroll	See: http://www.steelypips.org/nethack/343/scrl-343.html
arachnist	gray_unicorn	neutral aligned unicorn
Zeffrin	gray_unicorn	Eaten: gray unicorn   Nutr: 300   Intrinsic: Poison: 27%
dtype	asmodeus	A lawful demon prince that primarily attacks with cold.
greqrg	asmodeus	Good alternative to Demogorgon for farming.
jilles	knock	Level 1 matter spell. The same as a wand of opening.
Nodey	int	see {intelligence}
nailbunny	you_feel_like_a_new_orc	Message given when an orc polymorphs but does not change race. Stats are re-rolled.
dasunt	cave_spider	An early game monster that conveys poison resistance without poisoning!
_bryce	cave_spider	It's only a 7% chance, but there is no risk (unless it's old, of course...)
Zeffrin	cave_spider	Eaten: cave spider   Nutr: 50   Intrinsic: Poison: 7%
ek|M	you_feel_stealthy	You gained intrinsic stealth via level gain.
Mikoangelo	xyzzy	Nothing happens...
PsyMar	xyzzy	A hollow voice says, 'Fool.'
PsyMar	xyzzy	Also a cheat code in Windows Minesweeper.
aero2600	quarterback	"You hear the quarterback calling the play" is a sound you hear when there is an unlooted vault on the level and you are hallucinating.
Shimei	unsuccessful_polymorph	If you polymorph into your original race, without polycontrol and if XL or HP are less than 1 you will suffer this death.
Sgeo	jonah_was_here	'What would you write?  "Jonah was here"?'
Sgeo	jonah_was_here	You attempted to (E)ngrave while engulfed by a (non-whirly?) monster.
Sgeo	jonah_was_here	http://nethackwiki.com/wiki/Engrave.c#line474
runcible	graciously	Threw unnamed/unidentified glass to a crossaligned or coaligned unicorn, 0 luck change.
Viol	drow	Dark elves. They do not exist in NetHack, but they do in Slash'EM.
paxed	packorder	Configuration option.  Specify the order to list object types in, default is ")[%?+!=/(*`0_
dasunt	jackboots	see {high boots}
Eidolos	keystone_kops	see {kops}
Stevie[FP]	elbereth_faq	http://www.steelypips.org/nethack/elbereth_faq.html
Zeffrin	python	Eaten: python   Nutr: 100
SheeEttin	#nethack:!hsp	Public: http://nethack.no-ip.biz/ Dev: http://hispeed.no-ip.biz/dev/nh-helper-dev/nh-helper.html
TheShrewdDude	loud_splash	The sound you get when striking (or force-bolting) down the drawbridge, while blind.
TheShrewdDude	loud_splash	"You hear a loud *SPLASH!*"
paxed	[hooa	see {Helm of Opposite Alignment}
runcible	eating_for_intrinsics	see {corpses}
mathx	you_hear_a_chugging_sound	see {chugging_sound}
Mucknert	stealth	You are less likely to wake sleeping monsters.
dasunt	orcish_cloak	Cloth cloak with the unidentified appearance of 'coarse mantelet'.  Does not drop AC, but provides mc2.  Other then being slightly cheaper, it's identical to the dwarvish cloak.
CydeWeys	orcish_cloak	Costs 40 and weighs 10.
Wrongskian	you_hear_something_crash_through_the_floor	An unseen monster zapped a wand of digging down.
kerio	surprise_anal	see {summon_nasties}
Cheapy	play_nethack	The theme song for Nethack: http://www.bbspot.com/News/2004/10/play_nethack.html
Zadir	increase_damage	A way you can determine your intrinsic damage bonus is to use a means of probing a monster's health, hitting that monster with a non-weapon item (like a comestible) and subtracting 1 + your strength damage bonus from the total damage. The strength damage bonus is 3-5 = -1; 6-15 = 0; 16-17 = 1; 18 = 2; 18/01-18/75 = 3; 18/76-18/90 = 4; 18/91-18/99 = 5; 18/100 or higher = 6.
Zeffrin	priestess	Eaten: priestess   Nutr: 400   Effects: Human
alilipona	you_hear_distant_howling	see {distant_howling}
Stevie-O	orb_of_weight_ii	See {orb of detection}
ZeroOne	vault	see {gold vault}
DainDwarf	you_are_very_lucky	Your luck is between 5 and 9.
billnye	mews	Possible response by a feline pet when #chatted:  indicates hungry, and tameness of 5 or better
dasunt	old_gloves	see {gloves}
PsyMar	mythril	In NetHack, it's spelled "mithril".
scorchgeek	you_have_an_uneasy_feeling	see {uneasy_feeling}
joshk	nfc	No Fucking Clue
nornagon	you_have_a_hopeful_feeling	see {hopeful feeling}
dasunt	elven_armour	The elven mithril coat, elven leather helm, elven cloak (faded pall), elven shield (blue and green shield) and elven boots (random appearance) are pieces of elven armor in the game.  Unlike normal armour that can only be enchanted at +3 or below without chance of vaporization, elven armour can be enchanted at +5 or below without being vaporized.  Thus, with a little luck, elven armour can be enchanted to +7.
SpeedEvil	rots	See {erosion}
Stevie[FP]	mojo	see {mjollnir}
dasunt	helmet	The helmet slot can be filled by the fedora, dunce cap (conical hat) and cornuthaum (conical hat) for zero drop in AC if unenchanted.  A dented pot, elven leather helm (leather helm), helmet/kabuto, orcish helm (iron skull cap), helm of brilliance, helm of opposite alignment, and helm of telepathy will drop AC by one when unenchanted.  A dwarvish iron helm (hard hat) will drop AC by 2 when unenchanted.
dasunt	helmet	The normal helmet, helm of brilliance, helm of opposite alignment, and helm of telepathy share the randomized appearance of plumed, etched, crested, and visored helmets.
dasunt	helmet	The normal helmet drops AC by one and is made of iron - it will rust, and it will hinder spellcasting.  It is also known as the kabuto.
Cyde	helmet	The normal helmet costs 10 zorkmids and the other three randomized helmets cost 50.  The helm of opposite alignment will self-identify and the helm of telepathy will hinder spellcasting while the helm of brilliance will not.
greycat	helmet	Beware, however, that wearing a helm of opposite alignment will cause you to lose any divine protection you have accumulated.  Oh, and it autocurses itself, too.
Eidolos	ring_of_slow_digestion	see {slow digestion}
Zadir	extinction	This occurs when 120 of a certain monster type are generated, methods that respect extinction can no longer be used to generate that type of monster afterwards. Not to be confused with genocide.
itsblah	extinction	Djinn and ghosts can also be made extinct, but extinction for these two is only respected when generated from a potion or magic lamp.
Zadir	extinction	Refer to http://www.steelypips.org/nethack/extinctionist-faq.html for more detail.
itsblah	extinction	Only 9 Nazgul can be created; 3 erinyes; only 1 each for a unique monster (besides the Wizard of Yendor)
omniscientist	extinction	Species both genocided and extinct will be reported as only have been genocided at the end.
scorchgeek	#nethack:wow?	wand of wishing
Decon	credit_card	A Tourist starting item which can be (a)pplied to unlock doors and chests.
Decon	credit_card	Can also be used to open closed shops.
greycat	credit_card	No, you can't get credit in a shop using this item.
Eidolos	wishless	If you find yourself with a wish but want to preserve the wishless conduct, wish for "nothing". If you just hit enter you'll get a random item (which will break wishless).
Cheapy_	full_healing	See {potion_of_full_healing}
lorimer	mumak_resistance	An unusually high amount of HP (200+) combined with low AC (-20 or better), such that meleeing a mumak would leave the player with only a few scratches.
lorimer	mumak_resistance	Also considered the short version of "enough physical toughness so that plain HP loss to combat is very unlikely to be the cause of death without also extreme carelessness."
ekiM	rtfs	Please to not ask questions in here that can be answered with twenty seconds perusal of http://www.statslab.cam.ac.uk/~eva/nethack/spoilerlist.html. You lazy fool.
paxed	hardware_store	A shop.  Sells and buys tools.
dasunt	&	Command: '&'  Tells what a command does.
dasunt	&	Monster: '&'  Demons and other nasty things.  Non-uniques include water demons, horned devils, succubi, incubi, erinyes, barbed devils, mariliths, vrocks, hezrous, bone|ice devils, nalfeshnee, pit fiends, balrogs, djinni and sandestin. Also, equally nasty: mail daemons.
jilles	&	Monster: '&'  Several unique monsters.  Asmodeus, Juiblex, Orcus, and Baalzebub, Death, Famine, and Pestilence are guarenteed to be in each game (if you make it far enough) while Yeenoghu, Geryon, Dispater, and Demogorgon are not.
SpeedEvil	lvlfiles	A command that lists the number of levels that an active player has visited.
bobbens	petrified_by_elementary_physics	Throw a rubber chicken upwards.
BenUrban	wide-angle_disintegration_beam	see {wide angle disintegration beam}
Eidolos	you_see_the_ring_slide_right_down_the_drain!	That's free action, babe.
dtype	nurse	If you're wearing no armor, and wielding no weapon, the nurse will heal you, and in the process possibly raise your max hp as well. The healing attack is suffixed with "I hope you don't mind!"
dtype	nurse	In a practice known as 'nurse dancing', players reverse genocide nurses (often in sokoban), strip of armor and weapons, and stand still getting healed by nurses to increase max hit points.
_Q	nurse	On each nurse heal, there is a 1/7 chance of point of maxhp, given your current maxhp < (5*clvl + [2*clvl]d10), which means only 50% efficiency at 450hp at clvl 30, deteriorating fast. Regardless of that check, there is then a 1/13 chance of the nurse teleporting away.
SpeedEvil	nurse	Eating nurse meat heals you to maximum hit points and has about a 73% chance of giving poison resistance.
PsyMar	nurse	Nurses will not hurt healers with weapons or armor, but will not heal them either unless they strip.  (line 1422, mhitu.c)
Zeffrin	nurse	Eaten: nurse   Nutr: 400   Effects: Human Heal   Intrinsic: Poison: 73%
dasunt	hard_gems	All hard unidentified gems are valuable.  Engrave with the gem to see if its hard (floor) or soft (dust).
dasunt	hard_gems	Diamond (white), ruby (red), jacinth (orange), sapphire (blue), black opal (black), emerald (green), aquamarine (blue or green), and topaz (yellowish brown) are all the hard gems listed by decreasing value.
Mucknert	poison_resistance	To avoid an annoying kind of insta-death, you should get this one as soon as possible. The safe ways are playing an orc, barbarian, healer, monk from XL 3, tourist from XL 20, or by eating one of the corpses listed below (eater beware: some may be unsafe to eat for other reasons).
itsblah	poison_resistance	Other safe ways include crowning, wearing a ring of poison resistance, amulet versus poison, an alchemy smock, green dragon scale (mail), or by polymorphing into the many monsters that have poison resistance.
Eidolos	poison_resistance	Non-poisonous corpses that can give PR: Master Kaen 100%, nurse 73%, golden naga 67%, black naga 53%, cockatrice 33%, quivering blob 33%, chickatrice 27%, unicorn 27%, Wizard of Yendor 25%, black pudding 22%, black|golden|guardian naga hatchling 20%, pyrolisk 20%, quasit 20%, red naga 20%, shrieker 20%, violet fungus 20%
Eidolos	poison_resistance	blue jelly 13%, centipede 13%, tengu 13%, flesh golem 12%, brown pudding 11%, red naga hatchling 10%, cave spider 7%, gray ooze 7%, brown|red mold 3%
Eidolos	poison_resistance	POISONOUS corpses that can give PR: Medusa: 100%, Scorpius: 100%, green dragon: 100%, guardian naga: 80%, queen bee: 60%, scorpion: 50%, xan: 47%, cobra: 40%, pit viper: 40%, giant beetle: 33%, giant spider: 33%, gremlin: 33%, killer bee: 30%, snake: 27%, water moccasin: 27%, jellyfish: 20%, soldier ant: 20%, Chromatic Dragon: 17%, homunculus: 7%, yellow mold: 7%
Xarann	ring_of_protection	see {ring}
Stevie-O	water_glows_for_a_moment	Congratulations. You uncursed whatever you #dipped.
JoshJ	webconf	http://alt.org/nethack/webconf/nethackrc.php
dtype	/ow	Wand of Wishing.
runcible	mines_end	see {mines'_end}
Patashu	suicide	If this is your only option, controlled levelport to 0.
paxed	death_drop	Any randomly generated item a monster leaves when it dies.
SpeedEvil	attack_spells	In this group (with their levels) are: force bolt(1),drain life(2),magic missile(2),cone of cold(4),fireball(4),finger of death(7)
durron597	attack_spells	Expert: Wizard. Skilled: Barbarian, Knight, Samurai. Basic: Archaeologist, Caveman, Monk, Valkyrie.
paxed	objects	Configuration option.  Set the character symbols for displaying object classes.  See Guidebook for more info.
itsblah	objects	The order is "mimic/strange object, weapon, armor, ring, amulet, tool, food, potion, scroll, spellbook, wand, gold, gem/rock, boulder/statue, iron ball, chain, venom."
itsblah	objects	If you have the "boulders" option set, boulders will appear with that symbol instead of the statue one.
Zeffrin	dwarf_king	Eaten: dwarf king   Nutr: 300   Effects: Dwarf
paxed	carrot	Eating one cures blindness, but does not help when creamed or envenomed.
Grognor	carrot	Considered vegan food. Weighs 2 and gives 50 nutrition.
Sgep	suck_in_some_slime	"You suck in some slime and don't feel very well."
Sgep	suck_in_some_slime	As a (master) mind flayer, you tried to eat the brain of a green slime.
Sgep	suck_in_some_slime	You're now being slimed.
ledneh	flickers_for_a_moment,_then_dies	Assuming you just tried to (a)pply a lamp to turn it on, this probably means it's cursed. Cursed lamps have a chance to not activate.
ekiM	flickers_for_a_moment,_then_dies	On the plus side, if you were (a)pplying a lamp then it's somewhat likely to be magic! Now to find some holy water...
umopepisdn	cavemen	Cavemen/Cavewomen are retarded Barbarians.
SpeedEvil	destroy_armour	see {destroy_armor}
Masque_	you_hear_a_splat_nearby	You hear a splat nearby when a non-whirly engulfing creature that you can't see attempts to engulf a space near you, likely due to displacement or invisibility.
Diablo-D3	orcish_dagger	Very basic weapon that has a +2 bonus to hit. Orcish daggers do 1d3 damage against small monsters, and 1d3 against large ones. Ra, Ro, T, V, and W can become experts at daggers.
pak21	potion_of_extra_healing	Blessed will heal 8d8 HP. If this would put you above your current maximum, the maximum is raised 5. Will cure sickness, blindness and hallucination. Exercises constitution and strength.
pak21	potion_of_extra_healing	Uncursed will heal 6d8 HP. If this would put you above your current maximum, the maximum is raised 2. Will cure sickness, blindness and hallucination. Exercises constitution and strength.
pak21	potion_of_extra_healing	Cursed will heal 4d8 HP. Will not raise maximum HP. Will cure blindness and hallucination. Exercises constitution and strength.
pak21	potion_of_extra_healing	If you hit Pestilence with one, has the possibility of halving its current and maximum HP.
greycat	chih_sung-tzu	The neutral god of Monks.
paxed	menu_search	Configuration option.  Menu character accelerator to search for a menu item.  Implemented by the Amiga, Gem and X11 ports.  Default ':'.
dasunt	dwarvish_iron_helm	Its unidentified appearance is 'hard hat'.  Made of iron, it is often found in the mines, and will drop AC by 2.  Good early game helmet for those who don't mind the iron penalty to spell casting.
b_jonas	rot	As corpses age, they become ineligable for sacrifice (no ill effects if you try though), then tainted (make you ill when you eat them, see food_poisoning), later they rot (which makes them disappear).
b_jonas	rot	The buc status of corpses affect how fast they age.  Lizard and lichen corpses don't taint or rot, nor do corpses in an ice box. Corpses of zombies, vampires, mummies start out tainted.
anselmus	courtly_conversation	See {throne room}
greycat	create_monster	A wonderful effect, produced by scrolls, spells, wands, or a bag of tricks, which causes (normally hostile) monsters to appear near you.  Monsters can be killed for XP points, corpses, and objects.
Eidolos	create_monster	Reading a scroll of create monster while confused will summon a boatload of acid blobs. Use this to extinct 'em.
`Masque	create_monster	Breaking a charged wand of create monster will summon a storm of meanies - even with only one charge left!
omniscientist	create_monster	Casting create monster when all extinctable monsters have become extinct results in no monster and no message.
azgor	woo_conduct	You must never walk diagonally unless it is unavoidable.
azgor	woo_conduct	You must not pray while weak for lack of food.
azgor	woo_conduct	You may only attempt to achieve woo conduct if your starting equipment includes two of the following items: =oSD, =oRegen, +oHealing (or extra healing)
azgor	woo_conduct	Naturally, only wizards may achieve woo conduct.
EnigmaN	camping	Creating monsters on or near an altar, and then slaughtering them
EnigmaN	camping	Consort with foocubi to increase your max power.
EnigmaN	camping	If you are chaotic, you can sacrifice your own race to increase the # of foocubi
EnigmaN	camping	Happy Camping
paxed	quest_nemesis	The person (or monster) you have to defeat to get the quest artifact.
greycat	quest_nemesis	The quest nemesis also guards the Bell of Opening.  Don't forget to bring it along!
braindancer	corpses	Initial and final effects of eating corpses along with chances for intrinsics: http://www.geocities.com/dcorbett42/nethack/corpse.htm mirrored at http://runc1ble.org/nethack/corpses.html
Mucknert	patch-foo	A faster way to build Nethack - http://www.linuxgames.co.za/NetHack/patch-foo/
Grunt	grunt	Castle Gremlin ttyrec (currently): http://nethack.alt.org/nethack/ttyrec/SGrunt/2006-07-29.05:00:15.ttyrec.bz2
spazm	grunt	Gaulgath: Wow, Grunt, you are stinking up the joint!
shambler	grunt	He was never really good at the game anyway.
mathx	grunt	see also grunthack
SpeedEvil	ant_farming	Find a non-coaligned temple.
SpeedEvil	ant_farming	Convert the altar.
SpeedEvil	ant_farming	When the priest casts 'summon insects', kill and sacrifice them.
SpeedEvil	ant_farming	MR, speed, and enough HP to take incidental attacks from the priest are advised.
Stevie	flutters	"<x> flutters". The equivalent to "<x> staggers" for flying creatures.
Ashke	you_shudder_for_a_moment	Failed polytrap, Tele trap or Levelport trap, possibly due to Magic Resistance.
rlbond	you_shudder_for_a_moment	Or, you read a cursed scroll of teleportation and stayed on the same level.
Ashke	you_shudder_for_a_moment	Also see System shock, for the self-damage caused by polymorphing.
Sgeo	do_you_know_what_lives_in_this_water!	You tried to quaff from the water around you when underwater
Sgeo	do_you_know_what_lives_in_this_water!	You answered 'y' to the question "Drink the water around you? [yn] (n)"
Sgeo	do_you_know_what_lives_in_this_water!	http://nethackwiki.com/wiki/Potion.c#line352
Crassworm	crassworm's_hole	see {crassworm's_hotel}
runcible	nethack_utilities	Links to spell failure rate calc, price id, mastermind solver, etc: http://nethack.gridbug.de/nh.html
Zeffrin	ogre_king	Eaten: ogre king   Nutr: 750
Zeffrin	golden_naga_hatchling	Eaten: golden naga hatchling   Nutr: 100   Intrinsic: Poison: 20%
`Masque	nesting	You may place a bag of holding inside another bag of holding, but it'll blow up.  However, by wrapping the second bag in multiple sacks, you may pull it off.
`Masque	nesting	The chances are decreased up to the seventh nested sack.  (Oilskin sacks work just as well, and can be mixed in without penalty.)
`Masque	nesting	The exact odds of detonation are, for (n) intermediate sacks: (0) 1/1, (1) 2/2, (2) 3/4, (3) 4/8, (4) 5/16, (5) 6/32, (6) 7/64, (7) 8/128, (n where n > 6) (n+1)/128
Stevie-O	monster_level	To compute a monster's effective level: First, get the base level (http://www.spod-central.org/~psmith/nh/mon1-343.txt can tell you)
Stevie-O	monster_level	The Wizard of Yendor's effective level is (30 + times-he's-died), up to a maximum of 49.
Stevie-O	monster_level	For the special 'fixed-hp' monsters: Juiblex (22), Yeenoghu (25), Orcus (30), Geryon (33), Dispater (36), Baalzebub (41), Asmodeus (49), Demogorgon (50), mail daemon (25)
Feory	studded_leather_armour	see {studded_leather_armor}
paxed	fort_knox	a.k.a. "Fort Ludios"
damerell	egg	Edible, but might not be healthy. Some eggs will not hatch. Identifying will tell you what species egg it is. Polymorph into a female monster (of a species that lays eggs) to #sit and lay eggs, but doing that will use up nutrition. Egglaying species include snakes, naga, dragons, spiders, and cockatrices. ... And ants and centipedes. ... Maybe some more!
sawtooth	egg	Playing tip:  Never eat unidentified random eggs.
billnye	egg	See {oviparous_monsters} for a list of creatures which can lay eggs.
billnye	egg	A method for pet-IDing cockatrice eggs (for puppies and kitties) is to #name the type of egg you hold "Not Cockatrice", and set it on the ground (don't throw). If the pet won't eat it, re-name to "Hooray, Stoning Grenade!"
Grognor	egg	If you feel a desire burning within you to eat one of these, they don't break vegetarian and give 80 nutrition. Note that they will often make you sick.
scorchgeek	egg	Because nausea confuses you, they're a handy way to get confused for getting different scroll effects.
paxed	sound	Configuration option.  Enable messages about what your character hears.  This has nothing to do with your computer's audio capabilities.
SpeedEvil	rusts	see {erosion}
Poeir	iron_chain	Almost the most useless item in the game (You can feed them to metallivores). They can't be polypiled into a more useful item. They are dropped by iron golems and can be created by punishment (via scroll or angry god).
intchanter	iron_chain	Is sometimes used to mark the location of the "vibrating square".
threeletter	iron_chain	Base price 0zm, weight 120
HiSPeed	you_hear_a_cough	An unseen monster breathes at you.
sorear	you_feel_a_mild_chill.	You resisted a cold attack.  That ring you are wearing must be cold resist.  Or maybe you have it intrinsically (valk / corpse)
SpeedEvil	iliterate	see {$CHAR}
HanClinto	pet_buc_test	If your pet walks over an item without a "moves only reluctantly" message, and it didn't move there to eat something, then all items on that square are either blessed or uncursed.
HanClinto	pet_buc_test	See also moves_only_reluctantly
teabing	kobold_shaman	A type of kobold that enjoys pointing at things and cursing at them.  Their corpses are poisonous.
Zeffrin	kobold_shaman	Eaten: kobold shaman   Nutr: 150   Effects: Poisonous
paxed	throne	Usually found in a throne room.  The usual thing to do with it is to #sit on it until it vanishes. You can also kick gems loose from them. Sitting on a throne has a 33% chance of giving a special effect, which is one of the following, all equally likely:
tsuteiuQ	throne	1 - Decrease a random stat by 4-7 points and take 1-10 damage || 2 - Increase a random stat by 1 || 3 - Electric shock, 1-30 damage (1-6 if resistant), abuse CON
tsuteiuQ	throne	4 - Fully heal, gain 4 max HP if less than 5 below max, cure blindness+sickness+wounded legs || 5 - Lose gold (including gold rings) from inventory || 6 - Receive a wish (or increase luck if it was too low)
tsuteiuQ	throne	7 - Summon several throne room monsters || 8 - Uncursed genocide || 9 - If non-negative luck, become blinded for 100-350 turns, else randomly curse items.
tsuteiuQ	throne	10 - Gain see invisible intrinsic if you don't have it already and luck is non-negative, else magic mapping || 11 - Aggravate monsters if luck is negative, else teleport.
tsuteiuQ	throne	12 - Identify 1-4 (or all) items || 13 - Make confused for 7-23 turns.
tsuteiuQ	throne	Thrones have a 33% chance of vanishing each time you sit on them UNLESS you were teleported elsewhere. If you are not unlucky, the probability of getting a wish from a throne before it disappears is approximately 7.4952% (give or take a few hundred-thousandths of a percent).  See also http://www.steelypips.org/nethack/343/thrn-343.html
Nexos	you_are_no_longer_ill	You cured illness thanks to the 'cure sickness' spell
kerio92	you_smell_acrid_fumes	see {acrid_fumes}
Snipufin	opens_like_magic	The tin was blessed
paxed	monkey	Pesky little bugger that can steal items from you.
Zeffrin	monkey	Eaten: monkey   Nutr: 50
Hacken	confused_bear	see {roaring_of_a_confused_bear}
glimz	oilskin_cloak	A slippery cloak that fits tightly and protects your metal body armor from erosion. Additionally, it provides the highest magic cancellation and prevents grabbing attacks.
jilles	master_key_of_thievery	The Master Key of Thievery is the Rogue quest artifact (chaotic). It gives warning, teleport control and half physical damage when carried, speaks to you when applied and can be invoked to untrap boxes and doors with 100% success.
dasunt	ivory_ring	An unidentified ring.  Cannot be eaten by any monster.
paxed	#nethack:!lmgtfy	http://lmgtfy.com/?q=$URLENC($ARGS)
Stevie	credit_cloning	Dropped gold in a store is exchanged for credit (displayed by the '$' command).
anselmus	credit_cloning	If your pet retrieves the gold, you keep both the gold and the credit.
